category,title,details,url
K-POP,BIGHIT MUSIC新人TikTok話題,BIGHITの新グループCORTISがTikTok開設。初日から世界中のK-POPファンの間で話題になりました。,https://news.yahoo.co.jp/articles/8bd9eb8328791669dd3da29418773654e7eafd6a
K-POP,2PM チャンソン 11月ソロツアー決定,2PMのチャンソンが11月に日本3都市でソロコンサートツアー開催。多彩なステージに期待。,https://www.mainichikpop.com/comeback/2600/
K-POP,BTS TXT所属CORTISデビューイベント,CORTISが9月8日にデビュー記念の単独イベントを開催。BTSやTXTファンも新たな推しに注目。,https://news.yahoo.co.jp/articles/41b79475e302059672a9b7c55593709569f909ee
VTuber,スターダストVTuber事業 9月30日解散決定,大手芸能事務所スターダストの運営するVTuber事業が発表から4年で9/30に解散へ。各タレントは個別に今後活動予定。,https://news.yahoo.co.jp/articles/95780ac965b9963f5e9e58e003c146d97ef4462b
VTuber,にじさんじ 甲斐田晴 デジタルアルバム1位獲得,VTuberグループ「にじさんじ」甲斐田晴のデジタルアルバムが初登場1位。ファンの応援が大きな力に。,https://www.nijisanji.jp/news/9zq8dgglho4y
VTuber,新人宇宙飛行士VTuber 月女神イチ イベント出演,新人宇宙飛行士VTuber「月女神イチ」が大阪・関西万博のJAXAコラボイベントに出演決定。未来を担う声に注目。,https://prtimes.jp/main/html/rd/p/000000078.000051518.html
VTuber,領国つかさ 1stソロライブ決定,人気VTuberの領国つかさが11月30日に池袋harevutaiで1stソロライブ決定。ファンとの初単独ライブを開催。,https://dengekionline.com/article/202508/49605
VTuber,宝鐘マリン ちゃおVTuberランキング1位,小学館「ちゃお」10月号のVTuberランキングでホロライブ・宝鐘マリンが1位を獲得。女子小学生からも絶大な人気。,https://dengekionline.com/article/202508/49594
VTuber,周防パトラ 生誕祭開催、新作ゲーム発表,周防パトラ生誕祭で3Dギター演奏、新作恋愛アドベンチャーゲーム「君色パトラIF」の制作も発表されました。,https://www.gamer.ne.jp/news/202508120017/
VTuber,新人VTuber朱月星華 魔女アイドルとして活躍,魔女系VTuber朱月星華がデビューし週3ペースで活動中。X等SNSで最新情報もチェックできます。,https://raidori.com/@seika_akaduki
VTuber,ホロライブ宝鐘マリン 子どもファン増加,宝鐘マリンが子どもファン急増をライブで報告。ファンレターも多く新しい世代からの人気が止まりません。,https://dengekionline.com/article/202508/49594
VTuber,にじさんじ 甲斐田晴 デジタルアルバム初1位,甲斐田晴のデジタルアルバムがBillboard JAPAN週間DLで首位。音楽活動の幅広さが評価。,https://www.musicman.co.jp/chart/680522
VTuber,新人VTuber 月女神イチ 万博JAXA舞台に登場,未来の宇宙体験をテーマに万博JAXAステージに登場。宇宙教育イベントでも話題です。,https://www.expoinfo.shop/2025/06/06/%E5%A4%A7%E9%98%AA%E4%B8%87%E5%8D%9Ajaxa%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%EF%BC%81vtuber%E6%9C%88%E5%A5%B3%E7%A5%9E%E3%82%A4%E3%83%81%E5%87%BA%E6%BC%94%E6%B1%BA%E5%AE%9A%EF%BC%816-14%E6%9C%AA/
